video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/8uuBFY-qY6g,/@Bloomberg-News,Bloomberg News,Trump Says ICE Has Made ‘Mistakes’ as Backlash Grows,26K,21 hours,"President Donald Trump said that federal immigration agents sometimes make mistakes, even as he broadly defended his ...",2026-01-21 22:58:40.611388
/shorts/5LR3vjPqJIk,/@Bloomberg-News,Bloomberg News,Trump Greenland Tariff Threat Risks New US-Europe Trade War,26K,1 day,Donald Trump's threat to hit European countries with a 10% levy over his claim on Greenland risks a new trade war between the ...,2026-01-21 22:58:40.612664
/shorts/Yn3QJdpAPxo,/@Bloomberg-News,Bloomberg News,Norway in Shock as Machado Gifts Trump Nobel Peace Medal,43K,5 days,"""Meaningless"" and ""pathetic."" María Corina Machado's decision to gift her Nobel Peace Prize medal to Donald Trump left some in ...",2026-01-21 22:58:40.613885
/watch?v=6P41VBTGjlk&pp=ygUIcG9saXRpY3M%3D,/@thehill,The Hill,Another Government Shutdown? Lawmakers Split as Deadline Nears | TRENDING,25K,1 day,House lawmakers have just four legislative days this week to pass all four remaining appropriations bills before they leave for ...,2026-01-21 22:58:47.584906
/watch?v=RnP-nIqmqK4&pp=ygUIcG9saXRpY3M%3D,/channel/UCPx_etxYtUYRyrdOszrDA0g,David Feldman,Stephen Miller Orders ICE To Arrest Government Officials Who Legally Protest Trump's Border Policy,32K,3 days,"Appearing on Fox News, Stephen Miller ordered ICE agents to arrest government officials, including the governor of Illinois, ...",2026-01-21 22:58:47.586213
/shorts/nb0JHzaPBuY,/@TMZ,TMZ,President Trump Gets Slapped With F Bomb by Danish Politician,10K,1 day,"President Trump's potty mouth is rubbing off on other world leaders, including a European Parliament official who gave DT a dose ...",2026-01-21 22:58:47.587515
/shorts/a9eWiVVHRvI,/@FoxNews,Fox News,Trump: Don Lemon is a 'LOSER' #shorts #politics #usa #trump #foxnews #news #us #politicalnews,239K,1 day,President Donald Trump scorches former CNN anchor Don Lemon for his involvement in an anti-I.C.E. protest that stormed a ...,2026-01-21 22:58:47.588763
/shorts/lfsOGZ1z3iU,/@Bloomberg-News,Bloomberg News,Macron Says US Tariffs as Political Leverage Are ‘Unacceptable’,86K,1 day,"French President Emmanuel Macron says US tariffs are ""unacceptable,"" especially when used as political leverage. ""It's clear we ...",2026-01-21 22:58:47.589999
/shorts/ELLe40eb_1g,/@CNYCentralNews,CNY Central,The politics of Micron,1.5K,6 hours,Politics was on display at the Micron groundbreaking ceremony last week. It began when U.S. Commerce Secretary Howard ...,2026-01-21 22:58:47.591189
/shorts/nTBcG9wVwnM,/@markets,Bloomberg Television,Trump #Greenland TariffThreat Risks NewUS-Europe Trade War #politics #shorts,28K,1 day,Donald Trump's threat to hit European countries with a 10% levy over his claim on Greenland risks a new trade war between the ...,2026-01-21 22:58:47.592600
/shorts/IQjnwudji-4,/@rolandsmartin,Roland S. Martin,Texas Politics: From Voter Fraud to Attacking Black America #shorts,10K,1 day,Political corruption and abuse of power are attacking Black America. Why are elected officials silent? Speak up!,2026-01-21 22:58:47.596091
/watch?v=Rh4-FlMRfVo&pp=ygUIcG9saXRpY3M%3D,/@CBCNews,CBC News,How Europe could wield financial markets to fight back against Trump | Power & Politics,59K,22 hours,"U.S. markets took a nosedive on Tuesday, as investors reacted to U.S. President Donald Trump's pledge to take control of ...",2026-01-21 22:58:47.597264
/shorts/TXCWjUcfkNE,/@FoxNews,Fox News,Dem CONFRONTED over response to border patrol shooting #foxnews #news #us #fox,198K,6 days,Fox News congressional correspondent Bill Melugin questioned Dem Rep. Maxine Dexter over her response to last week's ...,2026-01-21 22:58:47.598473
/watch?v=L2BFcVQJhR0&pp=ygUIcG9saXRpY3M%3D,/@RestPoliticsUS,The Rest Is Politics US,Trump is Sinking... What Comes Next Will be Worse,494K,6 days,What does Trump's middle-finger to the Ford worker reveal about the state of his presidency? Can anyone save the GOP from ...,2026-01-21 22:58:47.599559
/shorts/GK2P60N8K7w,/@FoxNews,Fox News,Trump slams Rep. Ilhan Omar as ‘crooked’ and claims she ‘never had a job’,188K,23 hours,"President Donald Trump skewers Rep. Ilhan Omar, D-Minn., over claims she is worth $30 million in press conference.",2026-01-21 22:58:47.604008
/shorts/D726R2tCFNw,/@TJWalkerSuccess,TJ Walker Success,Sovereignty Under Siege From Within #politics #democracy #breakdown,No,1 day,"Sovereignty Under Siege From Within #politics #democracy #breakdown Today on Filtered with TJ Walker, we discuss British ...",2026-01-21 22:58:47.605250
/shorts/FPgK2aoB9Zk,/@FoxNews,Fox News,Trump FIRES BACK at Denmark's NATO warning #shorts #trump #greenland #nato #Venezuela #us,1.4M,13 days,President Donald Trump responds to backlash over Greenland ambitions as Denmark warns a takeover could end NATO.,2026-01-21 22:58:47.606428
